class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
2,0 <= ... <  200 DM,48,no credits taken/ all credits paid back duly,business,14421,A61,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,radio/television,3181,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,27,existing credits paid back duly till now,repairs,5190,A65,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,radio/television,2171,A61,... < 1 year,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,car (new),1007,A64,1  <= ... < 4 years,4,male   : married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes
2,no checking account,36,existing credits paid back duly till now,education,1819,A61,1  <= ... < 4 years,4,male   : single,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,36,existing credits paid back duly till now,radio/television,2394,A65,1  <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes
1,no checking account,36,existing credits paid back duly till now,car (used),8133,A61,1  <= ... < 4 years,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1,none,yes
1,no checking account,7,critical account/  other credits existing (not at this bank),radio/television,730,A65,.. >= 7 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes
1,... <    0 DM,8,critical account/  other credits existing (not at this bank),others,1164,A61,.. >= 7 years,3,male   : single,none,4,unknown / no property,51,bank,for free,2,management/ self-employed/,2,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,42,critical account/  other credits existing (not at this bank),business,5954,A61,4  <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes
2,... <    0 DM,36,existing credits paid back duly till now,education,1977,A65,.. >= 7 years,4,male   : single,none,4,unknown / no property,40,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,12,critical account/  other credits existing (not at this bank),car (used),1526,A61,.. >= 7 years,4,male   : single,none,4,unknown / no property,66,none,for free,2,management/ self-employed/,1,none,yes
2,... <    0 DM,42,existing credits paid back duly till now,radio/television,3965,A61,... < 1 year,4,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,11,delay in paying off in the past,radio/television,4771,A61,4  <= ... < 7 years,2,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,none,yes
1,no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,A65,1  <= ... < 4 years,2,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,none,yes
1,0 <= ... <  200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,A61,... < 1 year,2,male   : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes
2,no checking account,24,existing credits paid back duly till now,radio/television,5943,A65,... < 1 year,1,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,15,existing credits paid back duly till now,radio/television,1213,A63,.. >= 7 years,4,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,18,existing credits paid back duly till now,business,1568,A62,1  <= ... < 4 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,unskilled - resident,1,none,yes
1,... <    0 DM,24,existing credits paid back duly till now,others,1755,A61,.. >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,... <    0 DM,10,existing credits paid back duly till now,radio/television,2315,A61,.. >= 7 years,3,male   : single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),business,1412,A61,1  <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,1295,A61,... < 1 year,4,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,36,existing credits paid back duly till now,education,12612,A62,1  <= ... < 4 years,1,male   : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
1,... <    0 DM,18,existing credits paid back duly till now,car (new),2249,A62,4  <= ... < 7 years,4,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,management/ self-employed/,2,"yes, registered under the customers name",yes
2,... <    0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,A61,4  <= ... < 7 years,4,male   : single,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,618,A61,.. >= 7 years,4,male   : single,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,12,critical account/  other credits existing (not at this bank),car (used),1409,A61,.. >= 7 years,4,male   : single,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes
2,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,797,A65,.. >= 7 years,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,33,bank,own,1,unskilled - resident,2,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,24,critical account/  other credits existing (not at this bank),furniture/equipment,3617,A65,.. >= 7 years,4,male   : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,car (new),1318,A64,.. >= 7 years,4,male   : single,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,54,no credits taken/ all credits paid back duly,business,15945,A61,... < 1 year,3,male   : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),education,2012,A65,4  <= ... < 7 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",61,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,business,2622,A62,1  <= ... < 4 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,36,critical account/  other credits existing (not at this bank),radio/television,2337,A61,.. >= 7 years,4,male   : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,20,delay in paying off in the past,car (used),7057,A65,4  <= ... < 7 years,3,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,36,bank,rent,2,management/ self-employed/,2,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,car (new),1469,A62,.. >= 7 years,4,male   : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,36,existing credits paid back duly till now,radio/television,2323,A61,4  <= ... < 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,6,delay in paying off in the past,radio/television,932,A61,1  <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,9,critical account/  other credits existing (not at this bank),furniture/equipment,1919,A61,4  <= ... < 7 years,4,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,car (used),2445,A65,... < 1 year,2,male   : married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,24,critical account/  other credits existing (not at this bank),others,11938,A61,1  <= ... < 4 years,2,male   : single,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",39,none,own,2,management/ self-employed/,2,"yes, registered under the customers name",yes
2,no checking account,18,all credits at this bank paid back duly,car (new),6458,A61,.. >= 7 years,2,male   : single,none,4,unknown / no property,39,bank,own,2,management/ self-employed/,2,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,car (new),6078,A61,4  <= ... < 7 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,A65,... < 1 year,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no
1,0 <= ... <  200 DM,14,existing credits paid back duly till now,business,1410,A63,.. >= 7 years,1,male   : married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,6,delay in paying off in the past,business,1449,A62,.. >= 7 years,1,male   : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,392,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,18,existing credits paid back duly till now,car (new),6260,A61,4  <= ... < 7 years,3,male   : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes
2,no checking account,36,critical account/  other credits existing (not at this bank),car (new),7855,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,12,existing credits paid back duly till now,radio/television,1680,A63,.. >= 7 years,3,male   : married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes
1,no checking account,48,critical account/  other credits existing (not at this bank),radio/television,3578,A65,.. >= 7 years,4,male   : single,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,42,existing credits paid back duly till now,radio/television,7174,A65,4  <= ... < 7 years,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,10,critical account/  other credits existing (not at this bank),furniture/equipment,2132,A65,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no
2,... <    0 DM,33,critical account/  other credits existing (not at this bank),furniture/equipment,4281,A63,1  <= ... < 4 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,critical account/  other credits existing (not at this bank),car (new),2366,A63,4  <= ... < 7 years,3,male   : divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,21,existing credits paid back duly till now,radio/television,1835,A61,1  <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,critical account/  other credits existing (not at this bank),car (used),3868,A61,.. >= 7 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",41,none,rent,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,A61,1  <= ... < 4 years,3,male   : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,10,critical account/  other credits existing (not at this bank),car (new),781,A61,.. >= 7 years,4,male   : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,A65,... < 1 year,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes
1,... <    0 DM,12,critical account/  other credits existing (not at this bank),car (new),2121,A61,1  <= ... < 4 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,12,existing credits paid back duly till now,radio/television,701,A61,1  <= ... < 4 years,4,male   : married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes
2,0 <= ... <  200 DM,12,existing credits paid back duly till now,repairs,639,A61,1  <= ... < 4 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,critical account/  other credits existing (not at this bank),car (used),1860,A61,unemployed,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,12,critical account/  other credits existing (not at this bank),car (new),3499,A61,1  <= ... < 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,48,existing credits paid back duly till now,car (new),8487,A65,4  <= ... < 7 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,36,delay in paying off in the past,education,6887,A61,1  <= ... < 4 years,4,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,A61,... < 1 year,2,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,none,yes
